Entity,Code,Date, (cases),Number of days since the 100th confirmed case (days)
Africa,,"Dec 31, 2019",0,
Africa,,"Jan 1, 2020",0,
Africa,,"Jan 2, 2020",0,
Africa,,"Jan 3, 2020",0,
Africa,,"Jan 4, 2020",0,
Africa,,"Jan 5, 2020",0,
Africa,,"Jan 6, 2020",0,
Africa,,"Jan 7, 2020",0,
Africa,,"Jan 8, 2020",0,
Africa,,"Jan 9, 2020",0,
Africa,,"Jan 10, 2020",0,
Africa,,"Jan 11, 2020",0,
Africa,,"Jan 12, 2020",0,
Africa,,"Jan 13, 2020",0,
Africa,,"Jan 14, 2020",0,
Africa,,"Jan 15, 2020",0,
Africa,,"Jan 16, 2020",0,
Africa,,"Jan 17, 2020",0,
Africa,,"Jan 18, 2020",0,
Africa,,"Jan 19, 2020",0,
Africa,,"Jan 20, 2020",0,
Africa,,"Jan 21, 2020",0,
Africa,,"Jan 22, 2020",0,
Africa,,"Jan 23, 2020",0,
Africa,,"Jan 24, 2020",0,
Africa,,"Jan 25, 2020",0,
Africa,,"Jan 26, 2020",0,
Africa,,"Jan 27, 2020",0,
Africa,,"Jan 28, 2020",0,
Africa,,"Jan 29, 2020",0,
Africa,,"Jan 30, 2020",0,
Africa,,"Jan 31, 2020",0,
Africa,,"Feb 1, 2020",0,
Africa,,"Feb 2, 2020",0,
Africa,,"Feb 3, 2020",0,
Africa,,"Feb 4, 2020",0,
Africa,,"Feb 5, 2020",0,
Africa,,"Feb 6, 2020",0,
Africa,,"Feb 7, 2020",0,
Africa,,"Feb 8, 2020",0,
Africa,,"Feb 9, 2020",0,
Africa,,"Feb 10, 2020",0,
Africa,,"Feb 11, 2020",0,
Africa,,"Feb 12, 2020",0,
Africa,,"Feb 13, 2020",0,
Africa,,"Feb 14, 2020",0,
Africa,,"Feb 15, 2020",1,
Africa,,"Feb 16, 2020",1,
Africa,,"Feb 17, 2020",1,
Africa,,"Feb 18, 2020",1,
Africa,,"Feb 19, 2020",1,
Africa,,"Feb 20, 2020",1,
Africa,,"Feb 21, 2020",1,
Africa,,"Feb 22, 2020",1,
